拼音声调,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
zhuai,t͡ʃ˞ʰwəɛ̯,t͡ʂwaɪ,d̥͡ʐ̺̊wa̠ɪ̯,tʃ̺uai,tʃ̺ua̝i,tʂuai,tʂuai,tʂuaⁱ,tʂuae,tʂuai,tʂuæɪ
zhuan,t͡ʃ˞ʰwɞɹ̃,t͡ʂwan,d̥͡ʐ̺̊wa̠n̚,tʃ̺uan,tʃ̺u̟an,tʂuan,tʂuan,tʂuaⁿ,tʂuan,tʂuan,tʂuan
zhuang,t͡ʃ˞ʰwoɰ̃,t͡ʂwɑŋ,d̥͡ʐ̺̊wɑ̟ŋ̚,tʃ̺uaŋ,tʃ̺u̟aŋ,tʂuaŋ,tʂuɑŋ,tʂuɑᵑ,tʂuɑŋ,tʂuɑŋ,tʂuɑŋ
zhui,t͡ʃ˞ʰwɛe̯,t͡ʂweɪ,d̥͡ʐ̺̊uɘ̹̑ɪ̯,tʃ̺uei,tʃ̺ue̠i,tʂuei,tʂuei,tʂueⁱ,tʂueɪ,tʂuei,tʂueɪ
zhun,t͡ʃ˞ʰwɵ̯ɹ̩̃,t͡ʂwən,d̥͡ʐ̺̊uɘ̹̑n̚,tʃ̺uən,tʃ̺uən,tʂuən,tʂuən,tʂuəⁿ,tʂuən,tʂuən,tʂuən
zhuo,t͡ʃ˞ʰʊ,t͡ʂwo,d̥͡ʐ̺̊wo̜̽,tʃ̺uo,tʃ̺uo̟,tʂuo,tʂuo,tʂuo,tʂuo,tʂuɤ,tʂuo̞͑
zi,t͡sɘʴ,t͡sɹ̩,d̥͡z̟̊ɹ̟̍,tsɹ̩,tsɹ̩,tsɿ,tsɿ,tsɿ,tsɿ,tsz̩,tsɿ
zong,t͡so̯ũ,t͡sʊŋ,d̥͡z̟̊ʷʊŋ̚ʷ,tsuŋ,tsʊŋ,tsuŋ,tsuŋ,tsʊᵑ,tsʊŋ,tsɷŋ,tsʊŋ
zou,t͡sɔo̯,t͡soʊ,d̥͡z̟̊ʷo̜̽ʊ̯,tsou,tso̟u,tsou,tsou,tsɤᵘ,tsoʊ,tsou,tsoʊ
zu,t͡soʊ̯,t͡su,d̥͡z̟̊u,tsu,tsu,tsu,tsu,tsu,tsu,tsu,tsu
zuan,t͡swɞɹ̃,t͡swan,d̥͡z̟̊wa̠n̚,tsuan,tsu̟an,tsuan,tsuan,tsuaⁿ,tsuan,tsuan,tsuan
zui,t͡swɛe̯,t͡sweɪ,d̥͡z̟̊uɘ̹̑ɪ̯,tsuei,tsue̠i,tsuei,tsuei,tsueⁱ,tsueɪ,tsuei,tsueɪ
zun,t͡swɵ̯ɹ̩̃,t͡swən,d̥͡z̟̊uɘ̹̑n̚,tsuən,tsuən,tsuən,tsuən,tsuəⁿ,tsuən,tsuən,tsuən
zuo,t͡sʊ,t͡swo,d̥͡z̟̊wo̜̽,tsuo,tsuo̟,tsuo,tsuo,tsuo,tsuo,tsuɤ,tsuo̞͑
