拼音声调,2075北京话音系,UntPhesoca宽,UntPhesoca严,Standard Chinese (Beijing),Standard Chinese (Beijing)严,胡裕树《现代汉语》,黄伯荣、廖序东《现代汉语》,钱乃荣《现代汉语》,吴宗济,赵元任《汉语口语语法》,《汉语方音字汇》
fo,foʋ,fo,fwo̜̽,fuo,fuo̟,fo,fo,fo,fʊo̞,fo,fᵘo̞͑
fou,fɔo̯,foʊ,fʷo̜̽ʊ̯,fou,fo̟u,fou,fou,fɤᵘ,foʊ,fou,foʊ
fu,foʊ̯,fʋ̩,fu̜ᶹ,fu,fu,fu,fu,fu,fu,fu,fu
ga,qɜ,ka,ɡ̊ä,ka,ka̠,kᴀ,kᴀ,kᴀ,kᴀ,ɡ̊ᴀ,kᴀ
gai,qɜɛ̯,kaɪ,ɡ̊a̠ɪ̯,kai,kaɪ,kai,kai,kaⁱ,kae,ɡ̊ai,kæɪ
gan,qɜɹ̃,kan,ɡ̊a̠n̚,kan,ka̝n,kan,kan,kæⁿ,kan,ɡ̊an,kan
gang,qʌɰ̃,kɑŋ,ɡ̊ɑ̟ŋ̚,kaŋ,ka̝ŋ,kaŋ,kɑŋ,kɑᵑ,kɑŋ,ɡ̊ɑŋ,kɑŋ
gao,qʌɔ̯,kɑʊ,ɡ̊ɑ̟ʊ̯,kau,ka̝ʊ,kau,kɑu,kɑᵘ,kɑo,ɡ̊ɑu,kɑʊ
ge,qɯ̽,kɤ,ɡ̊ɤʌ̟̑,kɤ,kɤʌ̯,kɤ,kɤ,kɤ,kɤᶺ,ɡ̊ɤ,kɤᶺ
gei,qɛe̯,keɪ,ɡ̊e̽ɪ̯,kei,ke̠i,kei,kei,keⁱ,keɪ,ɡ̊ei,keɪ
gen,qɘ̯ɹ̩̃,kən,ɡ̊ə̟n̚,kən,kən,kən,kən,kəⁿ,kən,ɡ̊ən,kən
geng,qɤ̯ɯ̃,kɤŋ,ɡ̊ɤ̽ŋ̚,kəŋ,kəŋ,kəŋ,kəŋ,kəᵑ,kəŋ,ɡ̊ʌŋ,kʌŋ
gong,qo̯ũ,kʊŋ,ɡ̊ʷʊŋ̚ʷ,kuŋ,kʊŋ,kuŋ,kuŋ,kʊᵑ,kʊŋ,ɡ̊ɷŋ,kʊŋ
gou,qɔo̯,koʊ,ɡ̊ʷo̜̽ʊ̯,kou,ko̟u,kou,kou,kɤᵘ,koʊ,ɡ̊ou,koʊ
gu,qoʊ̯,ku,ɡ̊u,ku,ku,ku,ku,ku,ku,ɡ̊u,ku
gua,qwɜ,kwa,ɡ̊wä,kua,ku̟a,kua,kuᴀ,kuᴀ,kuᴀ,ɡ̊uᴀ,kuᴀ
guai,qwəɛ̯,kwaɪ,ɡ̊wa̠ɪ̯,kuai,kua̝i,kuai,kuai,kuaⁱ,kuae,ɡ̊uai,kuæɪ
guan,qwɞɹ̃,kwan,ɡ̊wa̠n̚,kuan,ku̟an,kuan,kuan,kuaⁿ,kuan,ɡ̊uan,kuan
guang,qwoɰ̃,kwɑŋ,ɡ̊wɑ̟ŋ̚,kuaŋ,ku̟aŋ,kuaŋ,kuɑŋ,kuɑᵑ,kuɑŋ,ɡ̊uɑŋ,kuɑŋ
gui,qwɛe̯,kweɪ,ɡ̊we̠ɪ̯,kuei,kue̠i,kuei,kuei,kueⁱ,kueɪ,ɡ̊uei,kueɪ
gun,qwɵ̯ɹ̩̃,kwən,ɡ̊wən̚,kuən,kuən,kuən,kuən,kuəⁿ,kuən,ɡ̊uən,kuən
guo,qʊ,kwo,ɡ̊wo̜̽,kuo,kuo̟,kuo,kuo,kuo,kuo,ɡ̊uɤ,kuo̞͑
ha,χɜ,xa,x̞ä,xa,xa̠,xᴀ,xᴀ,xᴀ,xᴀ,xᴀ,xᴀ
hai,χɜɛ̯,xaɪ,x̞a̠ɪ̯,xai,xaɪ,xai,xai,xaⁱ,xae,xai,xæɪ
han,χɜɹ̃,xan,x̞a̠n̚,xan,xa̝n,xan,xan,xæⁿ,xan,xan,xan
hang,χʌɰ̃,xɑŋ,x̞ɑ̟ŋ̚,xaŋ,xa̝ŋ,xaŋ,xɑŋ,xɑᵑ,xɑŋ,xɑŋ,xɑŋ
hao,χʌɔ̯,xɑʊ,x̞ɑ̟ʊ̯,xau,xa̝ʊ,xau,xɑu,xɑᵘ,xɑo,xɑu,xɑʊ
he,χɯ̽,xɤ,x̞ɤʌ̟̑,xɤ,xɤʌ̯,xɤ,xɤ,xɤ,xɤᶺ,xɤ,xɤᶺ
hei,χɛe̯,xeɪ,x̞e̽ɪ̯,xei,xe̠i,xei,xei,xeⁱ,xeɪ,xei,xeɪ
hen,χɘ̯ɹ̩̃,xən,x̞ə̟n̚,xən,xən,xən,xən,xəⁿ,xən,xən,xən
heng,χɤ̯ɯ̃,xɤŋ,x̞ɤ̽ŋ̚,xəŋ,xəŋ,xəŋ,xəŋ,xəᵑ,xəŋ,xʌŋ,xʌŋ
hong,χo̯ũ,xʊŋ,x̞ʷʊŋ̚ʷ,xuŋ,xʊŋ,xuŋ,xuŋ,xʊᵑ,xʊŋ,xɷŋ,xʊŋ
hou,χɔo̯,xoʊ,x̞ʷo̜̽ʊ̯,xou,xo̟u,xou,xou,xɤᵘ,xoʊ,xou,xoʊ
hu,χoʊ̯,xu,x̞u,xu,xu,xu,xu,xu,xu,xu,xu
hua,χwɜ,xwa,x̞wä,xua,xu̟a,xua,xuᴀ,xuᴀ,xuᴀ,xuᴀ,xuᴀ
huai,χwəɛ̯,xwaɪ,x̞wa̠ɪ̯,xuai,xua̝i,xuai,xuai,xuaⁱ,xuae,xuai,xuæɪ
huan,χwɞɹ̃,xwan,x̞wa̠n̚,xuan,xu̟an,xuan,xuan,xuaⁿ,xuan,xuan,xuan
huang,χwoɰ̃,xwɑŋ,x̞wɑ̟ŋ̚,xuaŋ,xu̟aŋ,xuaŋ,xuɑŋ,xuɑᵑ,xuɑŋ,xuɑŋ,xuɑŋ
hui,χwɛe̯,xweɪ,x̞we̠ɪ̯,xuei,xue̠i,xuei,xuei,xueⁱ,xueɪ,xuei,xueɪ
hun,χwɵ̯ɹ̩̃,xwən,x̞wən̚,xuən,xuən,xuən,xuən,xuəⁿ,xuən,xuən,xuən
huo,χʊ,xwo,x̞wo̜̽,xuo,xuo̟,xuo,xuo,xuo,xuo,xuɤ,xuo̞͑
ji,t͡si̞,t͡ɕi,d̥͡ʑ̥i,tɕi,tɕi,tɕi,tɕi,tɕi,tɕi,tɕi,tɕi
jia,t͡sjɜ,t͡ɕja,d̥͡ʑ̥jä,tɕia,tɕia,tɕia,tɕiᴀ,tɕiᴀ,tɕiᴀ,tɕiᴀ,tɕiᴀ
jian,t͡sɪɹ̃,t͡ɕjɛn,d̥͡ʑ̥jɛ̠n̚,tɕien,tɕie̞n,tɕian,tɕiɛn,tɕiɛⁿ,tɕiɛn,tɕiɛn,tɕiɛn
jiang,t͡sjəɰ̃,t͡ɕjɑŋ,d̥͡ʑ̥jɑ̟ŋ̚,tɕiaŋ,tɕiaŋ,tɕiaŋ,tɕiɑŋ,tɕiɑᵑ,tɕiɑŋ,tɕiɑŋ,tɕiɑŋ
jiao,t͡sjəɔ̯,t͡ɕjɑʊ,d̥͡ʑ̥jɑ̟ʊ̯,tɕiau,tɕia̝u,tɕiau,tɕiɑu,tɕiɑᵘ,tɕiɑʊ,tɕiɑu,tɕiɑʊ
jie,t͡sɪ,t͡ɕjɛ,d̥͡ʑ̥je̞ɛ̠̑,tɕie,tɕie̞,tɕiɛ,tɕiɛ,tɕiɛ,tɕiᴇ,tɕiɛ,tɕiᴇ
jin,t͡sȋ̞ɹ̩̃,t͡ɕin,d̥͡ʑ̥ji̞n̚,tɕin,tɕin,tɕin,tɕin,tɕiɪⁿ,tɕin,tɕin,tɕin
jing,t͡sjɘ̯ɯ̃,t͡ɕiŋ,d̥͡ʑ̥jɪŋ̚,tɕiŋ,tɕiŋ,tɕiŋ,tɕiŋ,tɕiɪᵑ,tɕiəŋ,tɕiŋ,tɕiᵊŋ
jiong,t͡ɕˢɥɵ̯ũ,t͡ɕjʊŋ,d̥͡ʑ̥ɥ͑ʊ̟ŋ̚ʷ,tɕiuŋ,tɕiu̟ŋ,tɕyŋ,tɕyŋ,tɕyɪᵑ,tɕyʊŋ,tɕiɷŋ,tɕyŋ
jiu,t͡sjɔo̯,t͡ɕjoʊ,d̥͡ʑ̥j͗o̟͑ʊ̯,tɕiou,tɕio̟u,tɕiou,tɕiou,tɕiɤᵘ,tɕioʊ,tɕiou,tɕioʊ
ju,t͡ɕˢoʊ̯,t͡ɕy,d̥͡ʑ̥u,tɕy,tɕy,tɕy,tɕy,tɕy,tɕy,tɕy,tɕy
juan,t͡ɕˢɥɵɹ̃,t͡ɕɥæn,d̥͡ʑ̥ɥʏ̯̈æ̠͗n̚,tɕyen,tɕye̞n,tɕyan,tɕyan,tɕyaⁿ,tɕyɛn,tɕyan,tɕyan
jue,t͡ɕˢʏ,t͡ɕɥɛ,d̥͡ʑ̥ɥe̞͗ɛ̠̑,tɕye,tɕye̞,tɕyɛ,tɕyɛ,tɕyɛ,tɕyᴇ,tɕyɛ,tɕyᴇ
jun,t͡ɕˢø̯ɹ̩̃,t͡ɕyn,d̥͡ʑ̥uɘ̹̑n̚,tɕyn,tɕyn,tɕyn,tɕyn,tɕyɪⁿ,tɕyn,tɕyn,tɕyn
ka,qʰɜ,kʰa,kʰä,kʰa,kʰa̠,kʻᴀ,kʻᴀ,kʻᴀ,kʻᴀ,kʰᴀ,kʻᴀ
kai,qʰɜɛ̯,kʰaɪ,kʰa̠ɪ̯,kʰai,kʰaɪ,kʻai,kʻai,kʻaⁱ,kʻae,kʰai,kʻæɪ
kan,qʰɜɹ̃,kʰan,kʰa̠n̚,kʰan,kʰa̝n,kʻan,kʻan,kʻæⁿ,kʻan,kʰan,kʻan
kang,qʰʌɰ̃,kʰɑŋ,kʰɑ̟ŋ̚,kʰaŋ,kʰa̝ŋ,kʻaŋ,kʻɑŋ,kʻɑᵑ,kʻɑŋ,kʰɑŋ,kʻɑŋ
kao,qʰʌɔ̯,kʰɑʊ,kʰɑ̟ʊ̯,kʰau,kʰa̝ʊ,kʻau,kʻɑu,kʻɑᵘ,kʻɑo,kʰɑu,kʻɑʊ
ke,qʰɯ̽,kʰɤ,kʰɤʌ̟̑,kʰɤ,kʰɤʌ̯,kʻɤ,kʻɤ,kʻɤ,kʻɤᶺ,kʰɤ,kʻɤᶺ
ken,qʰɘ̯ɹ̩̃,kʰən,kʰə̟n̚,kʰən,kʰən,kʻən,kʻən,kʻəⁿ,kʻən,kʰən,kʻən
keng,qʰɤ̯ɯ̃,kʰɤŋ,kʰɤ̽ŋ̚,kʰəŋ,kʰəŋ,kʻəŋ,kʻəŋ,kʻəᵑ,kʻəŋ,kʰʌŋ,kʻʌŋ
kong,qʰo̯ũ,kʰʊŋ,kʰʷʊŋ̚ʷ,kʰuŋ,kʰʊŋ,kʻuŋ,kʻuŋ,kʻʊᵑ,kʻʊŋ,kʰɷŋ,kʻʊŋ
kou,qʰɔo̯,kʰoʊ,kʰʷo̜̽ʊ̯,kʰou,kʰo̟u,kʻou,kʻou,kʻɤᵘ,kʻoʊ,kʰou,kʻoʊ
ku,qʰoʊ̯,kʰu,kʰu,kʰu,kʰu,kʻu,kʻu,kʻu,kʻu,kʰu,kʻu
kua,qʰwɜ,kʰwa,kʰwä,kʰua,kʰu̟a,kʻua,kʻuᴀ,kʻuᴀ,kʻuᴀ,kʰuᴀ,kʻuᴀ
kuai,qʰwəɛ̯,kʰwaɪ,kʰwa̠ɪ̯,kʰuai,kʰua̝i,kʻuai,kʻuai,kʻuaⁱ,kʻuae,kʰuai,kʻuæɪ
kuan,qʰwɞɹ̃,kʰwan,kʰwa̠n̚,kʰuan,kʰu̟an,kʻuan,kʻuan,kʻuaⁿ,kʻuan,kʰuan,kʻuan
kuang,qʰwoɰ̃,kʰwɑŋ,kʰwɑ̟ŋ̚,kʰuaŋ,kʰu̟aŋ,kʻuaŋ,kʻuɑŋ,kʻuɑᵑ,kʻuɑŋ,kʰuɑŋ,kʻuɑŋ
kui,qʰwɛe̯,kʰweɪ,kʰwe̠ɪ̯,kʰuei,kʰue̠i,kʻuei,kʻuei,kʻueⁱ,kʻueɪ,kʰuei,kʻueɪ
kun,qʰwɵ̯ɹ̩̃,kʰwən,kʰwən̚,kʰuən,kʰuən,kʻuən,kʻuən,kʻuəⁿ,kʻuən,kʰuən,kʻuən
kuo,qʰʊ,kʰwo,kʰwo̜̽,kʰuo,kʰuo̟,kʻuo,kʻuo,kʻuo,kʻuo,kʰuɤ,kʻuo̞͑
la,l̠ɜ,la,l̠ä,la,la̠,lᴀ,lᴀ,lᴀ,lᴀ,lᴀ,lᴀ
lai,l̠ɜɛ̯,laɪ,l̠a̠ɪ̯,lai,laɪ,lai,lai,laⁱ,lae,lai,læɪ
lan,l̠ɜɹ̃,lan,l̠a̠n̚,lan,la̝n,lan,lan,læⁿ,lan,lan,lan
lang,l̠ʌɰ̃,lɑŋ,l̠ɑ̟ŋ̚,laŋ,la̝ŋ,laŋ,lɑŋ,lɑᵑ,lɑŋ,lɑŋ,lɑŋ
lao,l̠ʌɔ̯,lɑʊ,l̠ɑ̟ʊ̯,lau,la̝ʊ,lau,lɑu,lɑᵘ,lɑo,lɑu,lɑʊ
le,l̠ɯ̽,lɤ,l̠ɤʌ̟̑,lɤ,lɤʌ̯,lɤ,lɤ,lɤ,lɤᶺ,lɤ,lɤᶺ
lei,l̠ɛe̯,leɪ,l̠e̽ɪ̯,lei,le̠i,lei,lei,leⁱ,leɪ,lei,leɪ
leng,l̠ɤ̯ɯ̃,lɤŋ,l̠ɤ̽ŋ̚,ləŋ,ləŋ,ləŋ,ləŋ,ləᵑ,ləŋ,lʌŋ,lʌŋ
li,l̠i̞,li,l̠i,li,li,li,li,li,li,li,li
lia,l̠jɜ,lja,l̠jä,lia,lia,lia,liᴀ,liᴀ,liᴀ,liᴀ,liᴀ
lian,l̠ɪɹ̃,ljɛn,l̠jɛ̠n̚,lien,lie̞n,lian,liɛn,liɛⁿ,liɛn,liɛn,liɛn
liang,l̠jəɰ̃,ljɑŋ,l̠jɑ̟ŋ̚,liaŋ,liaŋ,liaŋ,liɑŋ,liɑᵑ,liɑŋ,liɑŋ,liɑŋ
liao,l̠jəɔ̯,ljɑʊ,l̠jɑ̟ʊ̯,liau,lia̝u,liau,liɑu,liɑᵘ,liɑʊ,liɑu,liɑʊ
lie,l̠ɪ,ljɛ,l̠je̞ɛ̠̑,lie,lie̞,liɛ,liɛ,liɛ,liᴇ,liɛ,liᴇ
lin,l̠ȋ̞ɹ̩̃,lin,l̠ji̞n̚,lin,lin,lin,lin,liɪⁿ,lin,lin,lin
ling,l̠jɘ̯ɯ̃,liŋ,l̠jɪŋ̚,liŋ,liŋ,liŋ,liŋ,liɪᵑ,liəŋ,liŋ,liᵊŋ
liu,l̠jɔo̯,ljoʊ,l̠j͗o̟͑ʊ̯,liou,lio̟u,liou,liou,liɤᵘ,lioʊ,liou,lioʊ
lo,l̠ɔo̯,lo,l̠o̜̽ʊ̯,luo,luo̟,lo,lo,lo,lo̞,lo,lᵘo̞͑
long,l̠o̯ũ,lʊŋ,l̠ʷʊŋ̚ʷ,luŋ,lʊŋ,luŋ,luŋ,lʊᵑ,lʊŋ,lɷŋ,lʊŋ
lou,l̠ɔo̯,loʊ,l̠ʷo̜̽ʊ̯,lou,lo̟u,lou,lou,lɤᵘ,loʊ,lou,loʊ
lu,l̠oʊ̯,lu,l̠u,lu,lu,lu,lu,lu,lu,lu,lu
luan,l̠wɞɹ̃,lwan,l̠wa̠n̚,luan,lu̟an,luan,luan,luaⁿ,luan,luan,luan
lun,l̠wɵ̯ɹ̩̃,lwən,l̠uɘ̹̑n̚,luən,luən,luən,luən,luəⁿ,luən,luən,luən
luo,l̠ʊ,lwo,l̠wo̜̽,luo,luo̟,luo,luo,luo,luo,luɤ,luo̞͑
lv,l̠øʏ̯,ly,l̠y,ly,ly,ly,ly,ly,ly,ly,ly
lve,l̠ʏ,lɥɛ,l̠ɥe̞͗ɛ̠̑,lye,lye̞,lyɛ,lyɛ,lyɛ,lyᴇ,lyɛ,lyᴇ
ma,mɜ,ma,mä,ma,ma̠,mᴀ,mᴀ,mᴀ,mᴀ,mᴀ,mᴀ
mai,mɜɛ̯,maɪ,ma̠ɪ̯,mai,maɪ,mai,mai,maⁱ,mae,mai,mæɪ
man,mɜɹ̃,man,ma̠n̚,man,ma̝n,man,man,mæⁿ,man,man,man
mang,mʌɰ̃,mɑŋ,mɑ̟ŋ̚,maŋ,ma̝ŋ,maŋ,mɑŋ,mɑᵑ,mɑŋ,mɑŋ,mɑŋ
mao,mʌɔ̯,mɑʊ,mɑ̟ʊ̯,mau,ma̝ʊ,mau,mɑu,mɑᵘ,mɑo,mɑu,mɑʊ
me,mɯ̽,mɤ,mɤʌ̟̑,mɤ,mɤʌ̯,mɤ,mɤ,mɤ,mɤᶺ,mɤ,mɤᶺ
mei,mɛe̯,meɪ,me̽ɪ̯,mei,me̠i,mei,mei,meⁱ,meɪ,mei,meɪ
men,mɘ̯ɹ̩̃,mən,mə̟n̚,mən,mən,mən,mən,məⁿ,mən,mən,mən
meng,mɤ̯ɯ̃,mɤŋ,mɤ̽ŋ̚,məŋ,məŋ,məŋ,məŋ,məᵑ,məŋ,mʌŋ,mʌŋ
mi,mi̞,mi,mi,mi,mi,mi,mi,mi,mi,mi,mi
mian,mɪɹ̃,mjɛn,mjɛ̠n̚,mien,mie̞n,mian,miɛn,miɛⁿ,miɛn,miɛn,miɛn
miao,mjəɔ̯,mjɑʊ,mjɑ̟ʊ̯,miau,mia̝u,miau,miɑu,miɑᵘ,miɑʊ,miɑu,miɑʊ
mie,mɪ,mjɛ,mje̞ɛ̠̑,mie,mie̞,miɛ,miɛ,miɛ,miᴇ,miɛ,miᴇ
min,mȋ̞ɹ̩̃,min,mji̞n̚,min,min,min,min,miɪⁿ,min,min,min
ming,mjɘ̯ɯ̃,miŋ,mjɪŋ̚,miŋ,miŋ,miŋ,miŋ,miɪᵑ,miəŋ,miŋ,miᵊŋ
miu,mjɔo̯,mjoʊ,mj͗o̟͑ʊ̯,miou,mio̟u,miou,miou,miɤᵘ,mioʊ,miou,mioʊ
mo,mʊ,mo,mwo̜̽,muo,muo̟,mo,mo,mo,mʊo̞,mo,mᵘo̞͑
mou,mɔo̯,moʊ,mʷo̜̽ʊ̯,mou,mo̟u,mou,mou,mɤᵘ,moʊ,mou,moʊ
mu,moʊ̯,mu,mu,mu,mu,mu,mu,mu,mu,mu,mu
na,nɜ,na,nä,na,na̠,nᴀ,nᴀ,nᴀ,nᴀ,nᴀ,nᴀ
nai,nɜɛ̯,naɪ,na̠ɪ̯,nai,naɪ,nai,nai,naⁱ,nae,nai,næɪ
nan,nɜɹ̃,nan,na̠n̚,nan,na̝n,nan,nan,næⁿ,nan,nan,nan
nang,nʌɰ̃,nɑŋ,nɑ̟ŋ̚,naŋ,na̝ŋ,naŋ,nɑŋ,nɑᵑ,nɑŋ,nɑŋ,nɑŋ
nao,nʌɔ̯,nɑʊ,nɑ̟ʊ̯,nau,na̝ʊ,nau,nɑu,nɑᵘ,nɑo,nɑu,nɑʊ
ne,nɯ̽,nɤ,nɤʌ̟̑,nɤ,nɤʌ̯,nɤ,nɤ,nɤ,nɤᶺ,nɤ,nɤᶺ
nei,nɛe̯,neɪ,ne̽ɪ̯,nei,ne̠i,nei,nei,neⁱ,neɪ,nei,neɪ
nen,nɘ̯ɹ̩̃,nən,nə̟n̚,nən,nən,nən,nən,nəⁿ,nən,nən,nən
neng,nɤ̯ɯ̃,nɤŋ,nɤ̽ŋ̚,nəŋ,nəŋ,nəŋ,nəŋ,nəᵑ,nəŋ,nʌŋ,nʌŋ
ni,ɲ˖i̞,ni,ni,ni,ni,ni,ni,ni,ni,ni,ni
nian,ɲ˖ɪɹ̃,njɛn,njɛ̠n̚,nien,nie̞n,nian,niɛn,niɛⁿ,niɛn,niɛn,niɛn
niang,ɲ˖jəɰ̃,njɑŋ,njɑ̟ŋ̚,niaŋ,niaŋ,niaŋ,niɑŋ,niɑᵑ,niɑŋ,niɑŋ,niɑŋ
niao,ɲ˖jəɔ̯,njɑʊ,njɑ̟ʊ̯,niau,nia̝u,niau,niɑu,niɑᵘ,niɑʊ,niɑu,niɑʊ
nie,ɲ˖ɪ,njɛ,nje̞ɛ̠̑,nie,nie̞,niɛ,niɛ,niɛ,niᴇ,niɛ,niᴇ
nin,ɲ˖ȋ̞ɹ̩̃,nin,nji̞n̚,nin,nin,nin,nin,niɪⁿ,nin,nin,nin
ning,ɲ˖jɘ̯ɯ̃,niŋ,njɪŋ̚,niŋ,niŋ,niŋ,niŋ,niɪᵑ,niəŋ,niŋ,niᵊŋ
niu,ɲ˖jɔo̯,njoʊ,nj͗o̟͑ʊ̯,niou,nio̟u,niou,niou,niɤᵘ,nioʊ,niou,nioʊ
nong,no̯ũ,nʊŋ,nʷʊŋ̚ʷ,nuŋ,nʊŋ,nuŋ,nuŋ,nʊᵑ,nʊŋ,nɷŋ,nʊŋ
nou,nɔo̯,noʊ,nʷo̜̽ʊ̯,nou,no̟u,nou,nou,nɤᵘ,noʊ,nou,noʊ
nu,noʊ̯,nu,nu,nu,nu,nu,nu,nu,nu,nu,nu
nuan,nwɞɹ̃,nwan,nwa̠n̚,nuan,nu̟an,nuan,nuan,nuaⁿ,nuan,nuan,nuan
nuo,nʊ,nwo,nwo̜̽,nuo,nuo̟,nuo,nuo,nuo,nuo,nuɤ,nuo̞͑
nv,ɲ˖øʏ̯,ny,ny,ny,ny,ny,ny,ny,ny,ny,ny
nve,ɲ˖ʏ,nɥɛ,nɥe̞͗ɛ̠̑,nye,nye̞,nyɛ,nyɛ,nyɛ,nyᴇ,nyɛ,nyᴇ
o,ʊ,o,o̜̽ʊ̯,uo,uo̟,o,o,o,o̞,o,ᵘo̞͑
ou,ɔo̯,oʊ,o̜̽ʊ̯,ou,o̟u,ou,ou,ɤᵘ,oʊ,ou,oʊ
pa,pʰɜ,pʰa,pʰä,pʰa,pʰa̠,pʻᴀ,pʻᴀ,pʻᴀ,pʻᴀ,pʰᴀ,pʻᴀ
pai,pʰɜɛ̯,pʰaɪ,pʰa̠ɪ̯,pʰai,pʰaɪ,pʻai,pʻai,pʻaⁱ,pʻae,pʰai,pʻæɪ
pan,pʰɜɹ̃,pʰan,pʰa̠n̚,pʰan,pʰa̝n,pʻan,pʻan,pʻæⁿ,pʻan,pʰan,pʻan
pang,pʰʌɰ̃,pʰɑŋ,pʰɑ̟ŋ̚,pʰaŋ,pʰa̝ŋ,pʻaŋ,pʻɑŋ,pʻɑᵑ,pʻɑŋ,pʰɑŋ,pʻɑŋ
pao,pʰʌɔ̯,pʰɑʊ,pʰɑ̟ʊ̯,pʰau,pʰa̝ʊ,pʻau,pʻɑu,pʻɑᵘ,pʻɑo,pʰɑu,pʻɑʊ
pei,pʰɛe̯,pʰeɪ,pʰe̽ɪ̯,pʰei,pʰe̠i,pʻei,pʻei,pʻeⁱ,pʻeɪ,pʰei,pʻeɪ
pen,pʰɘ̯ɹ̩̃,pʰən,pʰə̟n̚,pʰən,pʰən,pʻən,pʻən,pʻəⁿ,pʻən,pʰən,pʻən
peng,pʰɤ̯ɯ̃,pʰɤŋ,pʰɤ̽ŋ̚,pʰəŋ,pʰəŋ,pʻəŋ,pʻəŋ,pʻəᵑ,pʻəŋ,pʰʌŋ,pʻʌŋ
pi,pʰi̞,pʰi,pʰi,pʰi,pʰi,pʻi,pʻi,pʻi,pʻi,pʰi,pʻi
pian,pʰɪɹ̃,pʰjɛn,pʰjɛ̠n̚,pʰien,pʰie̞n,pʻian,pʻiɛn,pʻiɛⁿ,pʻiɛn,pʰiɛn,pʻiɛn
piao,pʰjəɔ̯,pʰjɑʊ,pʰjɑ̟ʊ̯,pʰiau,pʰia̝u,pʻiau,pʻiɑu,pʻiɑᵘ,pʻiɑʊ,pʰiɑu,pʻiɑʊ
pie,pʰɪ,pʰjɛ,pʰje̞ɛ̠̑,pʰie,pʰie̞,pʻiɛ,pʻiɛ,pʻiɛ,pʻiᴇ,pʰiɛ,pʻiᴇ
pin,pʰȋ̞ɹ̩̃,pʰin,pʰji̞n̚,pʰin,pʰin,pʻin,pʻin,pʻiɪⁿ,pʻin,pʰin,pʻin
ping,pʰjɘ̯ɯ̃,pʰiŋ,pʰjɪŋ̚,pʰiŋ,pʰiŋ,pʻiŋ,pʻiŋ,pʻiɪᵑ,pʻiəŋ,pʰiŋ,pʻiᵊŋ
po,pʰʊ,pʰo,pʰwo̜̽,pʰuo,pʰuo̟,pʻo,pʻo,pʻo,pʻʊo̞,pʰo,pʻᵘo̞͑
pou,pʰɔo̯,pʰoʊ,pʰʷo̜̽ʊ̯,pʰou,pʰo̟u,pʻou,pʻou,pʻɤᵘ,pʻoʊ,pʰou,pʻoʊ
pu,pʰoʊ̯,pʰu,pʰu,pʰu,pʰu,pʻu,pʻu,pʻu,pʻu,pʰu,pʻu
qi,t͡sʰi̞,t͡ɕʰi,t͡ɕʰi,tɕʰi,tɕʰi,tɕʻi,tɕʻi,tɕʻi,tɕʻi,tɕʰi,tɕʻi
qia,t͡sʰjɜ,t͡ɕʰja,t͡ɕʰjä,tɕʰia,tɕʰia,tɕʻia,tɕʻiᴀ,tɕʻiᴀ,tɕʻiᴀ,tɕʰiᴀ,tɕʻiᴀ
qian,t͡sʰɪɹ̃,t͡ɕʰjɛn,t͡ɕʰjɛ̠n̚,tɕʰien,tɕʰie̞n,tɕʻian,tɕʻiɛn,tɕʻiɛⁿ,tɕʻiɛn,tɕʰiɛn,tɕʻiɛn
qiang,t͡sʰjəɰ̃,t͡ɕʰjɑŋ,t͡ɕʰjɑ̟ŋ̚,tɕʰiaŋ,tɕʰiaŋ,tɕʻiaŋ,tɕʻiɑŋ,tɕʻiɑᵑ,tɕʻiɑŋ,tɕʰiɑŋ,tɕʻiɑŋ
qiao,t͡sʰjəɔ̯,t͡ɕʰjɑʊ,t͡ɕʰjɑ̟ʊ̯,tɕʰiau,tɕʰia̝u,tɕʻiau,tɕʻiɑu,tɕʻiɑᵘ,tɕʻiɑʊ,tɕʰiɑu,tɕʻiɑʊ
qie,t͡sʰɪ,t͡ɕʰjɛ,t͡ɕʰje̞ɛ̠̑,tɕʰie,tɕʰie̞,tɕʻiɛ,tɕʻiɛ,tɕʻiɛ,tɕʻiᴇ,tɕʰiɛ,tɕʻiᴇ
qin,t͡sʰȋ̞ɹ̩̃,t͡ɕʰin,t͡ɕʰji̞n̚,tɕʰin,tɕʰin,tɕʻin,tɕʻin,tɕʻiɪⁿ,tɕʻin,tɕʰin,tɕʻin
qing,t͡sʰjɘ̯ɯ̃,t͡ɕʰiŋ,t͡ɕʰjɪŋ̚,tɕʰiŋ,tɕʰiŋ,tɕʻiŋ,tɕʻiŋ,tɕʻiɪᵑ,tɕʻiəŋ,tɕʰiŋ,tɕʻiᵊŋ
qiong,t͡ɕˢʰɥɵ̯ũ,t͡ɕʰjʊŋ,t͡ɕʰɥ͑ʊ̟ŋ̚ʷ,tɕʰiuŋ,tɕʰiu̟ŋ,tɕʻyŋ,tɕʻyŋ,tɕʻyɪᵑ,tɕʻyʊŋ,tɕʰiɷŋ,tɕʻyŋ
qiu,t͡sʰjɔo̯,t͡ɕʰjoʊ,t͡ɕʰj͗o̟͑ʊ̯,tɕʰiou,tɕʰio̟u,tɕʻiou,tɕʻiou,tɕʻiɤᵘ,tɕʻioʊ,tɕʰiou,tɕʻioʊ
